<<<,,,,,,,
Investigation Time,,,,,,,
Variables:,Case number,Unique number assigned to each case,,,,,
GR0400250265,SBININBBFXD,AN,25.15,8.57,9.03,7.56,7
GR0400250266,NBEGEGCX599,BC,6.01,6.01,0.00,0.00,0
GR0400250268,BNDCCAMMINT,OX,5.97,2.65,3.32,0.00,2
GR0400250278,BKCHCNBJ300,OX,19.10,0.87,18.25,0.00,6
GR0400250280,BKCHCNBJ810,OX,31.05,8.84,7.81,14.39,3
GR0400250283,UNCRITMM,OX,3.24,3.24,0.00,0.00,0
GR0400250288,CRRAIT2R,XX,0.20,0.20,0.00,0.00,0
GR0400250296,CCFRFRPP,NU,41.26,8.13,2.87,30.27,2
GR0400250297,ESSEGB2L,WX,3.05,3.05,0.00,0.00,0
GR0400250298,HNBNKRSE,WX,0.25,0.25,0.00,0.00,0
GR0400250299,DRESDEFF300,BV,5.77,4.96,0.00,0.82,0
GR0400250300,VUWBDEHH,NO,0.16,0.16,0.00,0.00,0
GR0400250304,LOYDGB2L,NU,6.94,6.07,0.87,0.00,1
GR0400250305,SCBKHKHH,OX,5.93,5.93,0.00,0.00,0
GR0400250306,INGBNL2A,AN,23.92,6.15,17.77,0.00,6
GR0400250307,KREDBEBB,DD,0.11,0.11,0.00,0.00,0
GR0400250316,PSPBFIHH,OX,24.97,2.86,22.10,0.02,7
GR0400250327,BSCHESMM,OX,0.17,0.17,0.00,0.00,0
GR0400250336,CCFRFRPP,OX,6.01,1.28,3.77,0.96,2
GR0400250340,BNPAFRPP,OX,31.12,8.63,19.40,3.09,8
GR0400250341,LECALBBE,OX,9.96,3.03,6.93,0.00,3
GR0400250342,MIDLGB22,NU,4.06,4.06,0.00,0.00,0
GR0400250345,RBOSIMD2,OX,11.05,5.23,5.82,0.00,3
GR0400250347,GKCCBEBB,CT,51.05,3.36,47.68,0.00,8
GR0400250348,BNPAFRPPLPD,NU,7.14,7.14,0.00,0.00,0
GR0400250358,UOVBSGSG,OX,28.11,8.51,16.94,2.65,8
GR0400250359,GEBABEBB36A,BC,6.18,3.43,0.00,2.75,0
GR0400250361,MIDLGB22,OX,38.10,2.94,35.16,0.00,2
GR0400250363,DEUTDEFF,BC,53.17,14.00,15.23,23.94,6
GR0400250364,SOGEFRPP,BD,3.21,3.21,0.00,0.00,0
GR0400250366,SOGEFRPP,BC,0.01,0.01,0.00,0.00,0
GR0400250367,SOGEFRPP,OX,6.12,6.12,0.00,0.00,0
GR0400250369,HVBKKRSE,BC,9.92,5.67,0.00,4.25,0
GR0400250371,GEBABEBB36A,BC,5.20,3.25,0.00,1.95,0
GR0400250375,SOGEFRPP,OX,3.79,3.79,0.00,0.00,0
GR0400250376,SOGEFRPP,OX,3.93,3.93,0.00,0.00,0
GR0400250377,SBZAZAJJ,OX,33.93,7.50,26.42,0.00,6
GR0400250383,MIDLGB22,OX,17.00,5.98,11.03,0.00,2
GR0400250389,BNIAIDJA,KK,0.00,0.00,0.00,0.00,0
GR0400250390,BNIAIDJA,KK,0.00,0.00,0.00,0.00,0
GR0400250392,COBACZPX,OX,7.86,5.80,1.95,0.12,2
GR0400250401,PARXLV22,OX,13.15,0.08,13.07,0.00,2
GR0400250405,RZBAATWW,KK,0.02,0.02,0.00,0.00,0
GR0400250407,UNCRITMM,OX,46.88,4.17,0.00,42.70,0
GR0400250410,DEUTDE6F,WX,0.17,0.17,0.00,0.00,0
GR0400250411,CEKOCZPP,OX,17.09,0.08,17.00,0.00,3
GR0400250413,DEUTDEFF,OX,24.95,8.18,12.79,3.98,2
GR0400250414,PKOPPLPWWA4,WX,2.85,2.85,0.00,0.00,0
GR0400250415,CRLYFRPP,BD,3.09,3.09,0.00,0.00,0
GR0400250426,BCITIT22482,NO,55.13,5.04,0.00,50.10,0
GR0400250429,CMBRFR2B,WX,0.06,0.06,0.00,0.00,0
GR0400250433,BOFAGB22,WX,5.85,5.85,0.00,0.00,0
GR0400250434,CGDIPTPL,NO,3.01,3.01,0.00,0.00,0
GR0400250439,DEUTDEFF,BC,6.93,6.93,0.00,0.00,0
GR0400250440,NDEADKKK,WX,17.87,1.32,4.79,11.75,2
GR0400250446,COBADEFF,OX,5.03,0.02,5.01,0.00,2
GR0400250447,FLORNL2ATAR,DD,0.01,0.01,0.00,0.00,0
GR0400250452,SBININBBFXD,OX,18.98,6.17,10.89,1.92,3
GR0400250456,HSHNDEHH,AN,9.94,4.90,5.04,0.00,2
GR0400250457,SBREDE22,DD,0.00,0.00,0.00,0.00,0
GR0400250459,TRMEZWHA,BC,11.01,4.09,6.92,0.00,1
GR0400250461,UBSWUS33,AN,7.04,6.60,0.44,0.00,1
GR0400250463,CITIUS33,OX,20.74,4.51,8.28,7.96,3
GR0400250464,MIDLGB22,OX,2.77,2.77,0.00,0.00,0
GR0400250465,GEBABEBB36A,OX,7.05,5.03,2.02,0.00,3
GR0400250467,BNPAFRPP,OX,9.98,5.00,2.10,2.88,2
GR0400250470,FLORNL2ATAR,DD,18.72,5.77,0.00,12.94,0
GR0400250473,RABONL2U,OX,11.85,4.61,7.23,0.00,2
GR0400250474,DEUTDEFF,OX,2.81,2.81,0.00,0.00,0
GR0400250476,BKOAES22,OX,6.67,3.55,3.12,0.00,2
GR0400250482,VUWBDEHH,AN,20.98,5.04,7.82,8.12,3
GR0400250490,CHASGB2L,NU,2.75,2.75,0.00,0.00,0
GR0400250498,TEBUTRIS,BC,0.00,0.00,0.00,0.00,0
GR0400250504,BKTRUS33,NU,2.82,2.82,0.00,0.00,0
GR0400250505,JVBABE22,CS,2.92,2.92,0.00,0.00,0
GR0400250509,FBMECY2N,BC,59.80,12.26,17.59,29.96,8
GR0400250510,DEUTDEFF,NU,6.79,6.69,0.10,0.00,2
GR0400250511,CHASGB2L,OX,3.64,3.64,0.00,0.00,0
GR0400250518,CHASGB2L,OX,3.63,3.63,0.00,0.00,0
GR0400250522,COBADEFF370,DD,12.76,7.99,0.00,4.76,0
GR0400250523,ASCBVNVX,OX,5.85,5.85,0.00,0.00,0
GR0400250524,CHASGB2L,OX,2.93,2.93,0.00,0.00,0
GR0400250530,RABONL2U,OX,4.80,2.81,1.99,0.00,1
GR0400250532,CEKOSKBX,OX,16.97,5.65,11.33,0.00,2
GR0400250535,CITINOKX,AN,13.83,2.92,10.91,0.00,3
GR0400250537,BKTRUS33,OX,9.94,5.67,0.00,4.27,0
GR0400250538,MIDLGB22,CT,2.84,2.84,0.00,0.00,0
GR0400250539,SUBASKBX,AN,19.88,6.93,12.96,0.00,3
GR0400250540,AIBKIE2D,NO,15.93,8.98,6.94,0.00,4
GR0400250546,CITIGB2L,KK,2.61,2.61,0.00,0.00,0
GR0400250549,DEUTDE3B472,OX,5.82,2.96,2.86,0.00,2
GR0400250553,PICTLULX,DD,2.69,2.69,0.00,0.00,0
GR0400250558,CCBPFRPPGRE,NO,3.85,3.80,0.00,0.05,0
GR0400250559,LOYDGB2L,NO,58.71,12.37,40.33,6.00,4
GR0400250562,RBOSGB2M,AN,16.74,5.40,11.34,0.00,2
GR0400250565,FLORNL2ADEV,NU,38.87,9.38,22.67,6.82,5
GR0400250567,BKTRUS33,NO,4.79,4.79,0.00,0.00,0
GR0400550003,BOFMCAM2,NO,5.80,5.80,0.00,0.00,0
GR0400550004,SPAKFOTF,NU,2.59,2.59,0.00,0.00,0
GR0400550005,SCBLUGKA,OX,5.81,4.40,1.42,0.00,1
GR0400550008,KOMBCZPP,KK,2.59,2.59,0.00,0.00,0
GR0400550011,KOMBCZPP,KK,2.59,2.59,0.00,0.00,0
GR0400550012,CRLYFRPP,AN,10.76,3.13,6.86,0.77,3
GR0400550014,BBDEBRSPSPO,OX,6.65,3.37,3.28,0.00,1
GR0400550019,IRVTUS3N,OX,9.62,7.22,2.40,0.00,4
GR0400550024,CITIGB2L,NO,51.89,11.43,33.38,7.08,5
GR0400550025,PNBPUS33PHL,OX,31.61,7.79,23.54,0.27,7
GR0400550026,AASIUS33,BC,9.73,4.74,0.00,4.98,0
GR0400550027,RBTTAWAW,AN,20.80,6.39,14.22,0.19,8
GR0400550028,CIBCCATT,OX,4.66,4.66,0.00,0.00,0
GR0400550031,CITIUS33,NU,5.62,5.62,0.00,0.00,0
GR0400550032,CHASDEFX,AN,13.47,5.34,0.00,8.13,0
GR0400550035,BBDABMHM,NU,10.73,5.60,5.12,0.00,2
GR0400550038,CHASGB2L,WX,2.58,2.58,0.00,0.00,0
GR0400550039,MARLUS44,OX,3.47,2.61,0.03,0.82,1
GR0400550040,CITIGB2L,OX,3.38,3.38,0.00,0.00,0
GR0400550045,IRVTUS3N,OX,5.42,5.42,0.00,0.00,0
GR0400550049,BOFAUS6SSFX,NO,5.40,4.96,0.05,0.39,1
GR0400550050,BOFAUS6SSFX,NO,4.61,4.61,0.00,0.00,0
GR0400550051,CITIGB2L,NO,5.42,5.42,0.00,0.00,0
GR0400550053,BKCHHKHH,OX,6.26,2.30,3.96,0.00,1
GR0400550054,BCOEESMM,KK,2.15,2.15,0.00,0.00,0
GR0400550055,DEUTDEFF,NU,18.21,2.31,15.90,0.00,4
GR0400550056,CIYUHKHH,KK,2.14,2.14,0.00,0.00,0
GR0400550060,CITIGB2L,DD,5.24,3.22,0.00,2.02,0
GR0400550066,SBININBBFXD,NO,53.17,13.98,26.30,12.90,8
GR0400550067,CITIGB2L,BC,2.84,2.84,0.00,0.00,0
GR0400550068,BBMEAEAD,OX,19.79,5.80,11.67,2.32,4
GR0400550070,BOMLAEAD,OX,12.84,4.39,8.45,0.00,4
GR0400550072,EDBIIRTHCEN,OX,14.87,4.81,10.05,0.00,3
GR0400550073,EDBIIRTHCEN,OX,4.94,1.90,3.04,0.00,1
GR0400550075,ARNBSARI,OX,26.06,6.70,19.36,0.00,8
GR0400550076,MELIIRTH060,OX,21.86,0.85,21.01,0.00,4
GR0400550077,BBMEJOAX,KK,0.73,0.73,0.00,0.00,0
GR0400550081,BFTVVNVX,OX,3.38,1.63,1.75,0.00,1
GR0400550082,BFTVVNVX,OX,7.37,4.95,2.42,0.00,2
GR0400550084,NDBSLKLX,NO,8.31,3.55,4.77,0.00,4
GR0400550085,BEASHKHH,NU,8.39,3.28,5.12,0.00,2
GR0400550088,SAIBJPJT,BC,32.36,2.41,0.00,29.94,0
GR0400550089,FLORNL2ATAR,NU,1.20,1.20,0.00,0.00,0
GR0400550090,INGBNL2A,BC,21.12,4.83,13.91,2.40,2
GR0400550092,MIDLGB22,BD,0.17,0.17,0.00,0.00,0
GR0400550127,BOFAUS3N,DD,1.04,0.33,0.00,0.71,0
GR0400550130,CITIUS33,BC,0.28,0.28,0.00,0.00,0
GR0400550131,FAYSPKKA,BC,0.31,0.31,0.00,0.00,0
GR0400550134,AAALSARI,BC,22.34,0.24,0.00,22.10,0
GR0400550169,CRLYFRPPVRS,BC,1.25,0.10,0.00,1.16,0
GR0400550236,FTSBNL2R,OX,8.19,2.10,6.09,0.00,2
GR0400550262,AEIBUS33,BC,3.14,3.14,0.00,0.00,0
GR0400550267,BKAUATWW,OX,2.13,2.13,0.00,0.00,0
GR0400550269,BKCHCNBJ95B,DD,0.00,0.00,0.00,0.00,0
GR0400550270,DEUTDEFF,DD,10.20,4.01,6.19,0.00,6
GR0400550271,BKCHCNBJ110,OX,22.96,4.52,16.96,1.48,5
GR0400550275,SBININBBFXD,OX,8.16,8.16,0.00,0.00,0
GR0400550278,CITIGB2L,OX,20.20,0.16,20.04,0.00,4
GR0400550279,ISBKTRIS,BD,7.25,0.32,6.93,0.00,2
GR0400550280,UNCRITMM,CT,1.32,1.32,0.00,0.00,0
GR0400550282,FIRBCHZZ,BC,2.11,2.11,0.00,0.00,0
GR0400550283,BKASTHBK,KK,0.02,0.02,0.00,0.00,0
GR0400550284,BKASTHBK,KK,0.01,0.01,0.00,0.00,0
GR0400550285,DRESDEFF200,OX,3.11,3.05,0.07,0.00,1
GR0400550287,CHEQFRPRX01,CT,0.27,0.27,0.00,0.00,0
GR0400550293,UBSWLULL,AN,17.07,3.94,13.13,0.00,3
GR0400550295,AKBKGB2L,OX,0.15,0.15,0.00,0.00,0
GR0400550296,AKBKGB2L,OX,0.14,0.14,0.00,0.00,0
GR0400550297,AKBKGB2L,OX,0.14,0.14,0.00,0.00,0
GR0400550298,TRHBTR2A,BC,11.27,5.05,6.22,0.00,3
GR0400550299,CHEQFRPRX01,CT,0.26,0.26,0.00,0.00,0
GR0400550300,AKBKGB2L,OX,0.14,0.14,0.00,0.00,0
GR0400550302,CHEQFRPRX01,CT,0.26,0.26,0.00,0.00,0
GR0400550306,CHEQFRPRX01,CT,0.26,0.26,0.00,0.00,0
GR0400550309,CHEQFRPRX01,CT,0.25,0.25,0.00,0.00,0
GR0400550310,MBBEMYKL,NU,10.22,0.26,0.00,9.96,0
GR0400550311,CHEQNLPRX01,CT,1.10,1.10,0.00,0.00,0
GR0400550313,NORDFRPP,KK,0.01,0.01,0.00,0.00,0
GR0400550314,NORDFRPP,KK,0.01,0.01,0.00,0.00,0
GR0400550315,CHEQFRPRX01,CT,0.24,0.24,0.00,0.00,0
GR0400550321,CHEQFRPRX01,CT,0.24,0.24,0.00,0.00,0
GR0400550322,CRLYFRPP,BD,0.17,0.17,0.00,0.00,0
GR0400550323,CHEQUSPRX01,CT,3.10,3.10,0.00,0.00,0
GR0400550324,CHEQNLPRX01,CT,1.07,1.07,0.00,0.00,0
GR0400550325,ETHNGRAA,OX,3.11,1.05,2.06,0.00,1
GR0400550326,CHEQNLPRX01,CT,1.06,1.06,0.00,0.00,0
GR0400550332,OPSKATWW,OX,4.07,2.18,1.90,0.00,1
GR0400550334,RTMBLV2X,OX,3.25,2.38,0.88,0.00,3
GR0400550337,CMCIFRPA,DD,0.00,0.00,0.00,0.00,0
GR0400550340,FTSBNL2R,DD,1.94,1.94,0.00,0.00,0
GR0400550344,CZNBKRSE,BC,0.03,0.03,0.00,0.00,0
GR0400550345,CZNBKRSE,BC,0.03,0.03,0.00,0.00,0
GR0400550346,BOTKJPJT,NU,2.23,2.23,0.00,0.00,0
GR0400550347,BOTKJPJT,OX,2.93,0.98,1.95,0.00,1
GR0400550348,CHEQNLPRX01,CT,3.06,3.06,0.00,0.00,0
GR0400550349,SIFRGB2L,AN,7.12,2.22,0.00,4.90,0
GR0400550351,CHEQFRPRX01,CT,0.20,0.20,0.00,0.00,0
GR0400550354,HASPDEHH,OX,8.87,0.65,8.22,0.00,2
GR0400550355,CHEQFRPRX01,CT,0.21,0.21,0.00,0.00,0
GR0400550356,BARCGB22,AN,6.88,6.78,0.10,0.00,1
GR0400550358,ESSESESS,OX,37.02,2.73,2.23,32.06,2
GR0400550359,UNCRITMM,KK,0.87,0.87,0.00,0.00,0
GR0400550360,CCFRFRPP,DD,2.12,2.12,0.00,0.00,0
GR0400550365,BAMNIT22,NO,9.03,3.27,5.76,0.00,2
GR0400550367,IBSPITTM753,OX,11.01,1.12,8.92,0.98,3
GR0400550368,CCFRFRPP,BC,1.12,1.12,0.00,0.00,0
GR0400550382,SOGEFRPP,XX,3.08,1.92,0.00,1.16,0
GR0400550383,SCBLGB2L,WX,0.10,0.10,0.00,0.00,0
GR0400550399,CAMIIT2B,NO,4.13,2.94,1.19,0.00,1
GR0400550403,BROMITRDBOX,AN,7.05,2.97,4.08,0.00,1
GR0400550404,NBDUAEAD,OX,2.18,2.18,0.00,0.00,0
GR0400550413,UBSIJOAX,OX,21.15,16.00,3.10,2.05,3
GR0400550415,ALFHPKKA,BC,0.18,0.18,0.00,0.00,0
GR0400550419,BOFCTWTP,OX,8.87,4.03,0.00,4.84,0
GR0400550420,RUAMIT22,BC,0.01,0.01,0.00,0.00,0
GR0400550424,ALFHPKKA,BC,0.17,0.17,0.00,0.00,0
GR0400550427,SCBLLKLX,OX,3.05,0.28,2.77,0.00,1
GR0400550428,ALFHPKKA,BC,2.74,2.74,0.00,0.00,0
GR0400550431,ALFHPKKA,BC,2.80,2.80,0.00,0.00,0
GR0400550434,ALFHPKKA,BC,0.17,0.17,0.00,0.00,0
GR0400550435,DEUTDEFF,BC,0.00,0.00,0.00,0.00,0
GR0400550439,UBSWCHZH80A,OX,17.14,2.05,13.23,1.86,3
GR0400550441,CAZRES2Z,CT,1.18,1.18,0.00,0.00,0
GR0400550443,ALFHPKKA,BC,0.90,0.90,0.00,0.00,0
GR0400550445,AFDBCIAB,DD,2.10,2.10,0.00,0.00,0
GR0400550446,AFDBCIAB,DD,1.90,1.90,0.00,0.00,0
GR0400550447,WFBIUS6S,NU,0.14,0.14,0.00,0.00,0
GR0400550451,NWBKGB2L,PX,13.95,7.00,2.14,4.82,1
GR0400550453,BOFAGB22,AN,0.92,0.92,0.00,0.00,0
GR0400550454,BKASTHBK,BC,2.12,2.12,0.00,0.00,0
GR0400550456,CITIGB2L,OX,3.87,1.79,1.07,1.01,1
GR0400550457,FIRNZAJJ,DD,4.05,2.94,1.11,0.00,1
GR0400550459,CHEQNLPRX01,CT,44.91,6.70,7.47,30.75,2
GR0400550463,CHEQNLPRX01,CT,44.89,7.41,7.47,30.01,2
GR0400550466,BARCGB22,NO,18.15,4.07,3.24,10.84,2
GR0400550467,CHEQNLPRX01,CT,44.89,6.55,7.47,30.86,2
GR0400550468,CHEQNLPRX01,CT,44.90,7.43,7.47,30.00,2
GR0400550470,CEKOCZPP,OX,10.12,2.95,7.17,0.00,3
GR0400550473,CHEQNLPRX01,CT,44.90,7.42,7.47,30.00,2
GR0400550480,CENAIDJA,AN,13.74,9.39,0.11,4.25,1
GR0400550481,CHEQNLPRX01,CT,2.83,2.83,0.00,0.00,0
GR0400550482,NDEASESS,AN,10.96,2.90,8.06,0.00,2
GR0400550483,AIBKGB2L,NU,2.02,1.08,0.00,0.95,0
GR0400550487,BNPANL2A,WX,2.77,2.77,0.00,0.00,0
GR0400550488,ABSAZAJJCDB,NO,2.03,2.03,0.00,0.00,0
GR0400550489,MKKBHUHB,NU,2.10,2.10,0.00,0.00,0
GR0400550494,ABSAZAJJCWI,OX,2.03,1.10,0.93,0.00,1
GR0400550495,CMCIFR2Y,AN,10.10,3.05,7.05,0.00,2
GR0400550497,SBININBBFXD,DD,0.81,0.81,0.00,0.00,0
GR0400550498,BNPANL2A,XX,18.03,1.97,0.11,15.94,1
GR0400550499,CEKOCZPP,OX,9.03,8.73,0.30,0.00,2
GR0400550501,KBLXLULL,OX,2.08,2.08,0.00,0.00,0
GR0400550502,KRDBPLPW,BC,56.93,7.21,13.61,36.11,4
GR0400550503,KRDBPLPW,BC,42.75,3.77,0.00,38.99,0
GR0400550505,NWBKGB2L,BD,1.90,1.90,0.00,0.00,0
GR0400550508,SEKETR2A,BC,3.11,0.90,0.00,2.20,0
GR0400550517,BOFACATT,AN,21.84,4.70,13.85,3.29,7
GR0400550519,HANDSESS,DD,0.09,0.09,0.00,0.00,0
GR0400550520,UBSWCHZH30A,WX,30.06,15.84,0.00,14.23,0
GR0400550521,BOFIIE2D,OX,0.97,0.86,0.12,0.00,1
GR0400550523,CENAIDJA,BD,3.91,3.22,0.69,0.00,1
GR0400550524,KREDBEBB,NU,2.08,2.08,0.00,0.00,0
GR0400550526,CEKOSKBX,OX,8.80,3.97,4.82,0.00,2
GR0400550527,CBQAQAQA,WX,1.09,1.09,0.00,0.00,0
GR0400550529,WFBIUS6S,DD,2.03,2.03,0.00,0.00,0
GR0400550531,BDOFOMRU,XX,8.84,0.80,8.04,0.00,2
GR0400550533,CBAFKENX,OX,2.87,2.87,0.00,0.00,0
GR0400550534,CHAIFR2A,WX,3.07,3.07,0.00,0.00,0
GR0400550537,HYVEDEMM,AN,14.92,2.03,12.89,0.00,5
GR0400550540,ESSESESS,OX,6.96,0.31,6.65,0.00,4
GR0400550546,TANZTZTX,OX,2.96,1.02,1.94,0.00,1
GR0400550549,NWBKGB2L,CT,9.97,2.00,7.97,0.00,2
GR0400550550,DEUTBEBE,OX,2.97,0.16,2.81,0.00,1
GR0400550551,DEUTTWTP,CT,3.02,1.98,0.00,1.03,0
GR0400550553,RNCBROBU,OX,2.95,0.12,2.83,0.00,1
GR0400550554,KREDBEBB,DD,6.72,0.82,0.00,5.90,0
GR0400550556,UBSWCHZH80A,BC,3.05,3.05,0.00,0.00,0
GR0400550557,SWEDSESS,BC,0.83,0.83,0.00,0.00,0
GR0400550558,FIRNZAJJ,DD,2.99,2.02,0.00,0.97,0
GR0400550559,SNTRUS3A,AN,8.04,3.07,4.96,0.00,3
GR0400550560,BSABESBB,OX,27.77,3.01,24.76,0.00,4
GR0400550563,HSBCGB22,N2,0.68,0.68,0.00,0.00,0
GR0400550566,BARCGB22,NO,16.96,3.91,0.00,13.05,0
GR0400550567,CAHMESMM,OX,3.03,1.04,1.99,0.00,1
GR0400550571,DABADKKK,NU,1.07,0.29,0.77,0.00,1
GR0400550572,JVBABE22,XX,9.83,0.88,0.00,8.95,0
GR0400550573,CEDELULL,NO,0.91,0.91,0.00,0.00,0
GR0400550574,WUPSDE33,KK,0.06,0.06,0.00,0.00,0
GR0400550576,CITIGB2L,OX,7.89,4.26,1.60,2.03,2
GR0400550577,NBKEKENX,OX,3.96,1.05,2.91,0.00,1
GR0400550579,DRESDEFF200,DD,0.86,0.86,0.00,0.00,0
GR0400550584,GKCCBEBB,OX,9.87,3.95,5.93,0.00,3
GR0400550589,FBMECY2N,BC,2.79,1.87,0.92,0.00,1
GR0400550591,PIGUCH22,XX,0.77,0.77,0.00,0.00,0
GR0400550593,PIGUCH22,XX,0.77,0.77,0.00,0.00,0
GR0400550594,TGBATRIS,BV,0.90,0.90,0.00,0.00,0
GR0400550595,BAIPPTPL,WX,1.98,1.98,0.00,0.00,0
GR0400550596,TGBATRIS,BV,0.93,0.93,0.00,0.00,0
GR0400550597,BARCGB5G,OX,9.76,5.73,4.04,0.00,1
GR0400550598,BCITIT33222,DD,0.00,0.00,0.00,0.00,0
GR0400550599,TGBATRIS,NU,0.90,0.90,0.00,0.00,0
GR0400550604,AFDBCIAB,DD,16.71,16.71,0.00,0.00,0
GR0400550605,LOYDGB2L,NU,2.85,2.85,0.00,0.00,0
GR0400550606,BCOMPTPL,OX,14.83,0.61,14.22,0.00,5
GR0400550608,GEBABEBB,AN,20.72,3.81,16.91,0.00,5
GR0400550610,CCFRFRPP,NO,0.84,0.84,0.00,0.00,0
GR0400550611,INGBNL2A,OX,6.99,3.14,0.99,2.86,1
GR0400550612,SOGEFRPP,AN,10.96,5.58,5.38,0.00,3
GR0400550614,HABBPKKA007,BV,1.99,1.99,0.00,0.00,0
GR0400550617,INGBNL2A,CT,0.71,0.70,0.00,0.00,1
GR0400550622,GKCCBEBB,OX,9.97,0.70,9.27,0.00,3
GR0400550624,GKCCBEBB,OX,10.02,0.70,9.32,0.00,3
GR0400550625,CITIUS33,NO,15.91,12.42,3.49,0.00,3
GR0400550627,DEUTDEDB380,OX,2.86,2.86,0.00,0.00,0
GR0400550628,KOEXNL2A,KK,0.74,0.74,0.00,0.00,0
GR0400550629,CBAOSNDA,NO,1.66,1.66,0.00,0.00,0
GR0400550632,CRLYFRPP,DD,0.91,0.91,0.00,0.00,0
GR0400550633,EWUBLULL,WX,17.84,2.80,1.08,13.96,2
GR0400550634,SBOSGB2X,DD,0.73,0.73,0.00,0.00,0
GR0400550636,MIDLGB22,CT,1.78,1.78,0.00,0.00,0
GR0400550637,MIDLGB22,CT,1.78,1.78,0.00,0.00,0
GR0400550641,KOEXNL2A,KK,0.73,0.73,0.00,0.00,0
GR0400550642,DRESDEFF600,NO,6.78,6.78,0.00,0.00,0
GR0400550643,CRBIIT2B,AN,29.81,3.69,26.12,0.00,5
GR0400550656,CRVGIT2V,KK,0.75,0.75,0.00,0.00,0
GR0400550674,SOGEFRPP,OX,17.72,4.47,13.25,0.00,6
GR0400550675,DEUTGB2L,PX,9.68,1.61,0.00,8.08,0
GR0400550676,HELADEFF,NO,1.71,1.71,0.00,0.00,0
GR0400550680,CMBMMCMX,KK,27.91,1.93,13.00,12.97,3
